305086,1,-7,-4,0.0ÿESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x158c
load:0x403c8700,len:0xd24
load:0x403cb700,len:0x2f34
entry 0x403c8924
I (24) boot: ESP-IDF -128-NOTFOUND 2nd stage bootloader
I (25) boot: compile time Apr 20 2026 11:22:55
I (25) boot: Multicore bootloader
I (26) boot: chip revision: v0.2
I (28) boot: efuse block revision: v1.3
I (32) boot.esp32s3: Boot SPI Speed : 80MHz
I (36) boot.esp32s3: SPI Mode       : DIO
I (39) boot.esp32s3: SPI Flash Size : 8MB
I (43) boot: Enabling RNG early entropy source...
I (48) boot: Partition Table:
I (50) boot: ## Label            Usage          Type ST Offset   Length
I (57) boot:  0 nvs              WiFi data        01 02 00009000 00006000
I (63) boot:  1 phy_init         RF data          01 01 0000f000 00001000
I (70) boot:  2 factory          factory app      00 00 00010000 00100000
I (76) boot: End of partition table
I (80) esp_image: segment 0: paddr=00010020 vaddr=3c020020 size=0e844h ( 59460) map
I (97) esp_image: segment 1: paddr=0001e86c vaddr=3fc94e00 size=017ach (  6060) load
I (99) esp_image: segment 2: paddr=00020020 vaddr=42000020 size=1c788h (116616) map
I (122) esp_image: segment 3: paddr=0003c7b0 vaddr=3fc965ac size=015d4h (  5588) load
I (124) esp_image: segment 4: paddr=0003dd8c vaddr=40374000 size=10d20h ( 68896) load
I (141) esp_image: segment 5: paddr=0004eab4 vaddr=50000000 size=00020h (    32) load
I (148) boot: Loaded app from partition at offset 0x10000
I (148) boot: Disabling RNG early entropy source...
I (159) cpu_start: Multicore app
I (167) cpu_start: GPIO 44 and 43 are used as console UART I/O pins
I (168) cpu_start: Pro cpu start user code
I (168) cpu_start: cpu freq: 160000000 Hz
I (170) app_init: Application information:
I (173) app_init: Project name:     ESP32_IMU_setup_NEW
I (178) app_init: App version:      af12b68-dirty
I (183) app_init: Compile time:     Apr 27 2026 11:33:17
I (188) app_init: ELF file SHA256:  e2bc1d974...
I (192) app_init: ESP-IDF:          -128-NOTFOUND
I (197) efuse_init: Min chip rev:     v0.0
I (200) efuse_init: Max chip rev:     v0.99 
I (204) efuse_init: Chip rev:         v0.2
I (208) heap_init: Initializing. RAM available for dynamic allocation:
I (215) heap_init: At 3FC9E2D0 len 0004B440 (301 KiB): RAM
I (220) heap_init: At 3FCE9710 len 00005724 (21 KiB): RAM
I (225) heap_init: At 3FCF0000 len 00008000 (32 KiB): DRAM
I (230) heap_init: At 600FE000 len 00001FE8 (7 KiB): RTCRAM
I (236) spi_flash: detected chip: gd
I (239) spi_flash: flash io: dio
I (242) sleep_gpio: Configure to isolate all GPIO pins in sleep state
I (248) sleep_gpio: Enable automatic switching of GPIO sleep configuration
I (255) coexist: coex firmware version: 7260f71
I (259) coexist: coexist rom version e7ae62f
I (263) main_task: Started on CPU0
I (286) main_task: Calling app_main()
I (286) MAIN: Starter IMU drift-test
I (3560) main_task: Returned from app_main()
t_us,gx_raw,gy_raw,gz_raw,gx_corr,gy_corr,gz_corr
4040624,1,-8,-5,0.038818,-0.011353,-0.057983
4044620,1,-8,-5,0.038818,-0.011353,-0.057983
4048610,1,-8,-3,0.038818,-0.011353,0.064087
4052519,1,-7,-3,0.038818,0.049683,0.064087
4056334,2,-7,-2,0.099854,0.049683,0.125122
4060157,2,-6,-5,0.099854,0.110718,-0.057983
4064067,2,-6,-5,0.099854,0.110718,-0.057983
4067968,0,-7,-5,-0.022217,0.049683,-0.057983
4071957,0,-6,-4,-0.022217,0.110718,0.003052
4075867,2,-8,-4,0.099854,-0.011353,0.003052
4079769,2,-7,-4,0.099854,0.049683,0.003052
4083592,2,-7,-4,0.099854,0.049683,0.003052
4087407,1,-9,-1,0.038818,-0.072388,0.186157
4091321,-1,-11,-2,-0.083252,-0.194458,0.125122
4095479,-1,-10,-5,-0.083252,-0.133423,-0.057983
4099736,0,-7,-5,-0.022217,0.049683,-0.057983
4103725,0,-7,-5,-0.022217,0.049683,-0.057983
4107722,0,-6,-3,-0.022217,0.110718,0.064087
4111624,0,-8,-5,-0.022217,-0.011353,-0.057983
4115707,1,-10,-4,0.038818,-0.133423,0.003052
4119696,-2,-6,-4,-0.144287,0.110718,0.003052
4123692,-2,-6,-4,-0.144287,0.110718,0.003052
4127681,1,-6,-2,0.038818,0.110718,0.125122
4131504,0,-7,-3,-0.022217,0.049683,0.064087
4135406,0,-10,-3,-0.022217,-0.133423,0.064087
4139489,3,-7,-2,0.160889,0.049683,0.125122
4143304,3,-7,-2,0.160889,0.049683,0.125122
4147127,2,-8,-3,0.099854,-0.011353,0.064087
4151029,0,-9,-3,-0.022217,-0.072388,0.064087
4155026,4,-8,-1,0.221924,-0.011353,0.186157
4158928,0,-8,-4,-0.022217,-0.011353,0.003052
4162924,0,-8,-4,-0.022217,-0.011353,0.003052
4166913,-1,-7,-5,-0.083252,0.049683,-0.057983
4170996,0,-7,-5,-0.022217,0.049683,-0.057983
4174985,1,-8,-2,0.038818,-0.011353,0.125122
4178895,1,-9,-3,0.038818,-0.072388,0.064087
4182797,1,-9,-3,0.038818,-0.072388,0.064087
4186707,3,-10,-4,0.160889,-0.133423,0.003052
4190696,1,-8,-7,0.038818,-0.011353,-0.180054
4194692,-1,-5,-6,-0.083252,0.171753,-0.119019
4198768,0,-7,-3,-0.022217,0.049683,0.064087
4202677,0,-7,-3,-0.022217,0.049683,0.064087
4206580,-3,-7,-3,-0.205322,0.049683,0.064087
4210576,-1,-7,-4,-0.083252,0.049683,0.003052
4214565,0,-6,-3,-0.022217,0.110718,0.064087
4218474,0,-7,-4,-0.022217,0.049683,0.003052
4222376,0,-7,-4,-0.022217,0.049683,0.003052
4226286,0,-7,-4,-0.022217,0.049683,0.003052
4230188,2,-7,-3,0.099854,0.049683,0.064087
4234011,1,-6,-6,0.038818,0.110718,-0.119019
4237913,0,-6,-4,-0.022217,0.110718,0.003052
4241828,0,-6,-4,-0.022217,0.110718,0.003052
4245725,0,-8,-3,-0.022217,-0.011353,0.064087
4249721,-1,-6,-3,-0.083252,0.110718,0.064087
4253710,1,-9,-1,0.038818,-0.072388,0.186157
4257620,-1,-7,-5,-0.083252,0.049683,-0.057983
4261695,-1,-7,-5,-0.083252,0.049683,-0.057983
4265779,-2,-6,-6,-0.144287,0.110718,-0.119019
4269854,-1,-9,-5,-0.083252,-0.072388,-0.057983
4274024,3,-10,-5,0.160889,-0.133423,-0.057983
4278108,2,-7,-5,0.099854,0.049683,-0.057983
4282009,0,-8,-5,-0.022217,-0.011353,-0.057983
4286095,0,-8,-5,-0.022217,-0.011353,-0.057983
4290168,1,-11,-4,0.038818,-0.194458,0.003052
4294157,0,-7,-3,-0.022217,0.049683,0.064087
4298074,-1,-7,-5,-0.083252,0.049683,-0.057983
4302143,0,-8,-5,-0.022217,-0.011353,-0.057983
4306226,0,-8,-5,-0.022217,-0.011353,-0.057983
4310301,2,-9,-3,0.099854,-0.072388,0.064087
4314211,1,-6,-5,0.038818,0.110718,-0.057983
4318113,2,-8,-4,0.099854,-0.011353,0.003052
4322023,0,-9,-4,-0.022217,-0.072388,0.003052
4326012,0,-9,-4,-0.022217,-0.072388,0.003052
4330008,0,-6,-5,-0.022217,0.110718,-0.057983
4333997,-1,-8,-6,-0.083252,-0.011353,-0.119019
4338167,1,-8,-2,0.038818,-0.011353,0.125122
4342076,1,-9,-3,0.038818,-0.072388,0.064087
4345979,1,-6,-3,0.038818,0.110718,0.064087
4349794,1,-6,-3,0.038818,0.110718,0.064087
4353617,1,-8,-2,0.038818,-0.011353,0.125122
4357519,1,-8,-4,0.038818,-0.011353,0.003052
4361429,1,-7,-1,0.038818,0.049683,0.186157
4365244,1,-7,-1,0.038818,0.049683,0.186157
4369074,1,-10,-3,0.038818,-0.133423,0.064087
4373056,0,-7,-4,-0.022217,0.049683,0.003052
4376965,-2,-9,-1,-0.144287,-0.072388,0.186157
4381041,-2,-9,-4,-0.144287,-0.072388,0.003052
4385124,-2,-9,-4,-0.144287,-0.072388,0.003052
4389200,-2,-7,-4,-0.144287,0.049683,0.003052
4393196,1,-7,-4,0.038818,0.049683,0.003052
4397011,0,-7,-5,-0.022217,0.049683,-0.057983
4401008,1,-6,-4,0.038818,0.110718,0.003052
4404826,1,-6,-4,0.038818,0.110718,0.003052
4408646,2,-5,-6,0.099854,0.171753,-0.119019
4412549,0,-6,-4,-0.022217,0.110718,0.003052
4416458,-1,-10,-4,-0.083252,-0.133423,0.003052
4420621,0,-10,-5,-0.022217,-0.133423,-0.057983
4424791,0,-10,-5,-0.022217,-0.133423,-0.057983
4428953,-1,-9,-3,-0.083252,-0.072388,0.064087
4433036,1,-7,-3,0.038818,0.049683,0.064087
4436851,1,-6,-3,0.038818,0.110718,0.064087
4440674,-1,-7,-5,-0.083252,0.049683,-0.057983
4444750,-1,-8,-1,-0.083252,-0.011353,0.186157
4448834,-1,-8,-1,-0.083252,-0.011353,0.186157
4452909,2,-9,0,0.099854,-0.072388,0.247192
4456732,2,-6,-3,0.099854,0.110718,0.064087
4460547,1,-6,-3,0.038818,0.110718,0.064087
4464370,0,-5,-7,-0.022217,0.171753,-0.180054
4468359,0,-5,-7,-0.022217,0.171753,-0.180054
4472360,-2,-5,-4,-0.144287,0.171753,0.003052
4476352,2,-6,-2,0.099854,0.110718,0.125122
4480167,1,-7,-3,0.038818,0.049683,0.064087
4483982,1,-7,-3,0.038818,0.049683,0.064087
4487813,-3,-8,-2,-0.205322,-0.011353,0.125122
4491880,0,-9,-4,-0.022217,-0.072388,0.003052
4495877,-1,-8,-6,-0.083252,-0.011353,-0.119019
4500039,1,-8,-3,0.038818,-0.011353,0.064087
4503949,-1,-7,-3,-0.083252,0.049683,0.064087
4507938,-1,-7,-3,-0.083252,0.049683,0.064087
4511934,2,-7,-3,0.099854,0.049683,0.064087
4515750,1,-6,-4,0.038818,0.110718,0.003052
4519573,1,-9,-5,0.038818,-0.072388,-0.057983
4523562,2,-11,-2,0.099854,-0.194458,0.125122
4527558,2,-11,-2,0.099854,-0.194458,0.125122
4531547,3,-8,-3,0.160889,-0.011353,0.064087
4535457,0,-8,-4,-0.022217,-0.011353,0.003052
4539445,1,-7,-3,0.038818,0.049683,0.064087
4543268,0,-10,-5,-0.022217,-0.133423,-0.057983
4547431,0,-10,-5,-0.022217,-0.133423,-0.057983
4551603,-3,-8,-5,-0.205322,-0.011353,-0.057983
4555763,-1,-6,-5,-0.083252,0.110718,-0.057983
4559846,3,-9,-5,0.160889,-0.072388,-0.057983
4563835,-1,-8,-5,-0.083252,-0.011353,-0.057983
4568005,2,-7,-3,0.099854,0.049683,0.064087
4571826,2,-7,-3,0.099854,0.049683,0.064087
4575644,1,-9,-5,0.038818,-0.072388,-0.057983
4579632,-1,-10,-5,-0.083252,-0.133423,-0.057983
4583889,1,-11,-2,0.038818,-0.194458,0.125122
4587878,0,-6,-5,-0.022217,0.110718,-0.057983
4591874,0,-6,-5,-0.022217,0.110718,-0.057983
4595864,3,-10,-4,0.160889,-0.133423,0.003052
4599860,1,-9,-3,0.038818,-0.072388,0.064087
4603762,0,-2,-6,-0.022217,0.354858,-0.119019
4607758,2,-5,-4,0.099854,0.171753,0.003052
4611574,2,-5,-4,0.099854,0.171753,0.003052
4615397,0,-8,-4,-0.022217,-0.011353,0.003052
4619385,1,-8,-4,0.038818,-0.011353,0.003052
4623295,2,-9,-4,0.099854,-0.072388,0.003052
4627197,0,-8,-4,-0.022217,-0.011353,0.003052
