label,file,samples,sampling_frequency_hz,duration_ms,mean_voltage_v,std_noise_mv,peak_to_peak_mv,min_noise_mv,max_noise_mv,dominant_noise_peak_hz,dominant_noise_peak_khz,dominant_noise_peak_db,top_peak_1_khz,top_peak_1_db,top_peak_2_khz,top_peak_2_db,top_peak_3_khz,top_peak_3_db,time_plot,fft_plot
smd_pcb_3v3_scope_11,smd_pcb_3v3_scope_11.csv,2000,200000000.0,0.009995,3.283658689213936,5.11003791659822,88.44221010800001,-50.48040146893618,37.96180863906385,,,,88599.99999999999,6.051035640942763,71299.99999999999,-0.3282063631030345,70299.99999999999,-0.8812320673335705,smd_pcb_3v3_scope_11_time.png,smd_pcb_3v3_scope_11_fft.png
smd_pcb_3v3_scope_13,smd_pcb_3v3_scope_13.csv,2000,2000000.0,0.9994999999999999,3.2842365786779495,4.6498234946284835,100.50251150000022,-47.03819047794955,53.464321022050676,223000.0,223.0,-4.721350315510064,223.0,-4.721350315510064,481.0,-5.767987844662988,740.0,-6.480197607412583,smd_pcb_3v3_scope_13_time.png,smd_pcb_3v3_scope_13_fft.png
smd_pcb_3v3_scope_16,smd_pcb_3v3_scope_16.csv,2000,20000.0,99.95000000000002,3.28411697715,4.54068323848097,108.54271999999997,-75.05929715000015,33.48342284999983,,,,1.8,-4.789075845948782,8.39,-5.814694428886807,,,smd_pcb_3v3_scope_16_time.png,smd_pcb_3v3_scope_16_fft.png
smd_pcb_ble_send_scope_09,smd_pcb_ble_send_scope_09.csv,2000,10000000.0,0.1999,3.2891681600155,3.709540884408456,97.63101099999983,-49.963187015499955,47.66782398449987,30000.0,30.0,-6.729817094945835,3010.0,-6.482673547979658,30.0,-6.729817094945835,3280.0,-7.144954632629034,smd_pcb_ble_send_scope_09_time.png,smd_pcb_ble_send_scope_09_fft.png
smd_pcb_ble_send_scope_10,smd_pcb_ble_send_scope_10.csv,2000,10000000.0,0.1999,3.2899612683780006,2.899471196612524,79.48312999999985,-37.891974378000626,41.59115562199922,,,,1395.0,-6.662226345670243,3140.0,-8.9851962660906,3090.0,-9.541266926373623,smd_pcb_ble_send_scope_10_time.png,smd_pcb_ble_send_scope_10_fft.png
smd_pcb_ble_send_scope_11,smd_pcb_ble_send_scope_11.csv,2000,200000000.0,0.009995,3.289464658312545,5.349217637493091,128.64321470200002,-75.91557707654495,52.727637625455074,,,,66499.99999999999,1.4492434656126134,70799.99999999999,1.3124099244496559,68199.99999999999,1.2932412370684387,smd_pcb_ble_send_scope_11_time.png,smd_pcb_ble_send_scope_11_fft.png
støj_buck_1ms-div,støj_buck_1ms-div.csv,8192,800000.0000000078,10.2387499999999,0.001989482335197695,4.816762558914443,65.1256712825548,-32.613763497821,32.51190778473381,331542.96875000326,331.54296875000324,7.41852882975401,4.003906250000039,9.699179382887893,331.54296875000324,7.41852882975401,200.58593750000196,5.497071898935625,st_j_buck_1ms-div_time.png,st_j_buck_1ms-div_fft.png
støj_buck_400us-div,støj_buck_400us-div.csv,8192,2040816.326530663,4.0135899999999,0.0013702367261159104,4.679264007130158,74.0515247070677,-43.23448146034771,30.81704324671999,771783.3227041009,771.7833227041009,10.89516845946391,1.9929846938776006,14.301891242617831,771.7833227041009,10.89516845946391,897.3413584183897,1.8851114370870736,st_j_buck_400us-div_time.png,st_j_buck_400us-div_fft.png
støj_buck_400us-div2,støj_buck_400us-div2.csv,8192,2040816.326530663,4.0135899999999,0.0018109523531463522,3.4265837094405627,50.910423236109104,-21.195269944161154,29.71515329194795,776765.7844387948,776.7657844387949,8.165456746374192,1.9929846938776006,13.077282651585481,776.7657844387949,8.165456746374192,7.971938775510402,1.3441420560629598,st_j_buck_400us-div2_time.png,st_j_buck_400us-div2_fft.png
støj_buckboost_1ms-div,støj_buckboost_1ms-div.csv,8192,800000.0000000078,10.2387499999999,0.003267761074987087,24.473596857483944,265.46149258828314,-134.39054244282408,131.07095014545902,345312.5000000034,345.31250000000335,6.8214494089526125,1.757812500000017,33.7527371530651,9.960937500000096,11.112016381392408,345.31250000000335,6.8214494089526125,st_j_buckboost_1ms-div_time.png,st_j_buckboost_1ms-div_fft.png
