#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B02ACE
#Date Time: 2026-05-13 14:18:47.440
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 5 mV/div Offset: 0 V Attenuation: 1 X

Time (s),Channel 1 (V)
-0.05119642857142857,-0.004667076675258196
-0.05118392857142857,-0.0023529665281626267
-0.05117142857142857,-0.0030141408559040033
-0.05115892857142857,-0.0013612050365498106
-0.05114642857142857,-0.0036753151836456804
-0.05113392857142857,-0.003344728019774842
-0.05112142857142857,-0.0026835536920327137
-0.05110892857142857,-0.0016917922004206492
-0.05109642857142857,-0.0026835536920331647
-0.05108392857142857,-0.0030141408559040033
-0.05107142857142857,-0.003344728019774842
-0.05105892857142857,-0.0023529665281630777
-0.05104642857142857,-0.004005902347516519
-0.05103392857142857,-0.002352966528162326
-0.05102142857142857,-0.002352966528162326
-0.05100892857142857,-0.001030617872678972
-0.05099642857142857,-0.0016917922004211002
-0.05098392857142857,-0.0026835536920331647
-0.05097142857142857,-0.0036753151836456804
-0.05095892857142857,-0.004336489511387358
-0.05094642857142857,-0.0026835536920331647
-0.05093392857142857,-0.003675315183645831
-0.05092142857142857,-0.004005902347516519
-0.05090892857142857,-0.0030141408559040033
-0.05089642857142857,-0.002352966528162326
-0.05088392857142857,-0.0030141408559040033
-0.05087142857142857,-0.0020223793642919386
-0.05085892857142857,-0.0030141408559040033
-0.05084642857142857,-0.0036753151836456804
-0.05083392857142857,-0.004005902347516519
-0.05082142857142857,-0.0036753151836456804
-0.05080892857142857,-0.0040059023475160676
-0.05079642857142857,-0.0030141408559040033
-0.05078392857142857,-0.0020223793642914875
-0.05077142857142857,-0.0030141408559040033
-0.05075892857142857,-0.0016917922004206492
-0.050746428571428574,-0.0036753151836447784
-0.05073392857142857,-0.003344728019774842
-0.05072142857142857,-0.004336489511387358
-0.05070892857142857,-0.004336489511387358
-0.05069642857142857,-0.0020223793642914875
-0.050683928571428574,-0.0040059023475156165
-0.05067142857142857,-0.002352966528162326
-0.05065892857142857,-0.0026835536920331647
-0.05064642857142857,-0.004667076675258196
-0.05063392857142857,-0.0016917922004206492
-0.050621428571428574,-0.0026835536920327137
-0.05060892857142857,-0.0030141408559040033
-0.05059642857142857,-0.004667076675258196
-0.05058392857142857,-0.0030141408559040033
-0.05057142857142857,-0.0016917922004206492
-0.050558928571428574,-0.0016917922004206492
-0.05054642857142857,-0.0016917922004206492
-0.05053392857142857,-0.0036753151836456804
-0.05052142857142857,-0.0030141408559040033
-0.05050892857142857,-0.0026835536920331647
-0.050496428571428574,-0.003014140855903853
-0.05048392857142857,-0.0026835536920331647
-0.05047142857142857,-0.0026835536920331647
-0.05045892857142857,-0.004005902347516519
-0.05044642857142857,-0.0026835536920331647
-0.050433928571428574,-0.0033447280197745413
-0.05042142857142857,-0.0016917922004206492
-0.05040892857142857,-0.0030141408559040033
-0.05039642857142857,-0.004336489511387358
-0.05038392857142857,-0.0030141408559040033
-0.050371428571428574,-0.0030141408559040033
-0.05035892857142857,-0.0026835536920331647
-0.05034642857142857,-0.004005902347516519
-0.05033392857142857,-0.0020223793642914875
-0.05032142857142857,-0.003344728019774842
-0.050308928571428574,-0.00367531518364553
-0.05029642857142857,-0.0030141408559040033
-0.05028392857142857,-0.0026835536920331647
-0.05027142857142857,-0.0020223793642914875
-0.05025892857142857,-0.004005902347516519
-0.050246428571428574,-0.0030141408559044543
-0.05023392857142857,-0.0036753151836456804
-0.05022142857142857,-0.0016917922004206492
-0.05020892857142857,-0.0013612050365498106
-0.05019642857142857,-0.0016917922004206492
-0.050183928571428574,-0.0026835536920327137
-0.05017142857142857,-0.0007000307088081335
-0.05015892857142857,-0.0036753151836456804
-0.05014642857142857,-0.004667076675258196
-0.05013392857142857,-0.0026835536920331647
-0.050121428571428574,-0.0007000307088090357
-0.05010892857142857,-0.003344728019774842
-0.05009642857142857,-0.0036753151836456804
-0.05008392857142857,-0.0030141408559040033
-0.05007142857142857,-0.002352966528162326
-0.050058928571428574,-0.0013612050365498106
-0.05004642857142857,-0.0036753151836456804
-0.05003392857142857,-0.0026835536920331647
-0.05002142857142857,-0.0026835536920331647
-0.05000892857142857,-0.0016917922004206492
-0.049996428571428574,-0.0030141408559040033
-0.04998392857142857,-0.0026835536920331647
-0.04997142857142857,-0.004005902347516519
-0.04995892857142857,-0.002352966528162326
-0.04994642857142857,-0.0020223793642914875
-0.049933928571428574,-0.004336489511387358
-0.04992142857142857,-0.0026835536920331647
-0.04990892857142857,-0.002352966528162326
-0.04989642857142857,-0.0020223793642914875
-0.04988392857142857,-0.0020223793642914875
-0.049871428571428573,-0.0020223793642914875
-0.04985892857142857,-0.0026835536920339163
-0.04984642857142857,-0.004336489511387358
-0.04983392857142857,-0.0026835536920331647
-0.04982142857142857,-0.0020223793642914875
-0.04980892857142857,-0.003344728019774842
