file,type,duration_s,mean_ma,median_ma,rms_ma,min_ma,max_ma,p95_ma,p99_ma,peak_to_peak_ma,offset_v,saturated
ac2q0013_opstart.csv,opstart,0.10238749999999991,-319.4176949049643,-1852.6493227132457,2538.8689568978907,-2708.2089028109763,2707.800602884972,2707.800602884972,2707.800602884972,5416.009505695948,0.0,True
ac2q0014.csv,ukendt,0.10238749999999999,0.40916347895477967,0.2917307828043,2.8709849334969806,-7.3117739862249005,9.217584207317,5.5811254047377,7.2340612240919,16.5293581935419,0.0,False
ac3q0015_advertising.csv,BLE advertising,0.10238749999999999,-328.9595655482867,-1903.7250395312903,2539.330756535369,-2708.2089028109763,2707.800602884972,2707.800602884972,2707.800602884972,5416.009505695948,0.0,True
ac3q0016_connection.csv,BLE forbindelse,0.1023874999999999,-0.5807013333728127,-1.3612050365497999,2.865862303674918,-6.3200124946123,6.2422997324794,4.2587767492544,5.2505382408669,12.562312227091699,0.0,False
ac3q0017_gnst_idle_connection_and_ble_send.csv,BLE forbindelse,0.10238749999999999,5.077375457643059,4.9199510769961,5.378508127787569,0.6223179466752,18.143437631829602,8.2258227157045,12.5234558460254,17.521119685154403,0.0,False
acq0002.csv,ukendt,0.1023874999999999,-449.63566398563563,-2087.366209061541,2501.655608549307,-2708.2089028109763,2707.470015721101,2707.470015721101,2707.470015721101,5415.678918532078,0.0,True
acq0003.csv,ukendt,0.1023874999999999,-449.63566398563563,-2087.366209061541,2501.655608549307,-2708.2089028109763,2707.470015721101,2707.470015721101,2707.470015721101,5415.678918532078,0.0,True
acq0004.csv,ukendt,0.10238749999999999,193.88485723070062,-96.40501464941585,930.7842913494545,-534.2677131963416,2707.470015721101,2707.470015721101,2707.470015721101,3241.7377289174424,0.0,True
acq0005_ble_send.csv,BLE transmission,0.1023874999999999,-78.03769351904558,-561.2105670518149,2573.795580483468,-2708.2089028109763,2707.470015721101,2707.470015721101,2707.470015721101,5415.678918532078,0.0,True
acq0006_ble_send.csv,BLE transmission,0.10238749999999991,-146.82742634100714,-902.3765201665203,2556.901564793001,-2708.2089028109763,2707.470015721101,2707.470015721101,2707.470015721101,5415.678918532078,0.0,True
acq0007_ble.csv,BLE transmission,0.10238749999999991,1.6533447349730725,0.9529051105459999,10.639998727203556,-29.791701129441897,31.697511350534,20.457547778925502,25.4163552369881,61.4892124799759,0.0,False
acq0008.csv,ukendt,0.10238749999999999,-457.0953036131615,-1064.5295240451665,2407.221340120006,-2708.2089028109763,2707.800602884972,2707.800602884972,2707.800602884972,5416.009505695948,0.0,True
acq0009_ble.csv,BLE transmission,0.1023874999999999,-1.183603216701711,-3.6753151836469,26.443296661956534,-70.453922285555,57.8138972963302,46.9045208885926,52.5245026743968,128.2678195818852,0.0,False
acq0010.csv,ukendt,0.10238749999999999,-265.78202602059775,-1488.8381488733878,2539.8181517395037,-2708.2089028109763,2707.800602884972,2707.800602884972,2707.800602884972,5416.009505695948,0.0,True
acq0011.csv,ukendt,0.10238749999999999,-312.7461456977553,-30.452875457183602,1976.6454106706167,-2708.2089028109763,2707.800602884972,2707.800602884972,2707.800602884972,5416.009505695948,0.0,True
acq0012.csv,ukendt,0.10238749999999999,-312.7461456977553,-30.452875457183602,1976.6454106706167,-2708.2089028109763,2707.800602884972,2707.800602884972,2707.800602884972,5416.009505695948,0.0,True
acq0022.csv,ukendt,46.875,8.792638008937757,4.9199510769961,126.81371107561355,-2708.2089028109763,2707.470015721101,5.9117125686086,58.8056587879428,5415.678918532078,0.0,True
