segment,duration_s,gx_mean_dps,gy_mean_dps,gz_mean_dps,gx_drift_deg_per_min,gy_drift_deg_per_min,gz_drift_deg_per_min,gx_final_angle_deg,gy_final_angle_deg,gz_final_angle_deg
før rotation,118.149926,0.009015848510387258,-0.021288243858244498,-0.009393828199401629,0.5455699354649692,-1.3190987601317787,-0.6282835500559691,1.066839368353919,-2.522484711017868,-1.1138957904360538
efter rotation,107.505008,0.007607355083248071,-0.018926409310761793,-0.011998401869593526,0.44246500908690045,-1.1923466056311907,-0.712145073505104,0.8179965065763092,-2.034651085215983,-1.2899159475357533
