axis,mean_dps,std_dps,min_dps,max_dps,final_angle_deg,drift_deg_per_min_fit
gx,0.13057863723492724,2.7160252188628915,-45.532104,55.053833,31.40131016403106,11.448081794679345
gy,-0.11918297762993765,3.184982717620877,-101.885132,63.092896,-28.660237031970482,-10.223811656286786
gz,0.3940491958419957,5.6106690189594195,-13.79248,109.742676,94.76962782790079,35.67578074445203
