event_id,seq,ts_us,ax,ay,az,gx,gy,gz
1,123,52453,-825,-15930,-1667,2,40,-35
1,124,52458,-836,-15931,-1550,5,9,-33
1,125,52463,-783,-15933,-1488,7,-24,-32
1,126,52468,-729,-15936,-1454,8,-52,-34
1,127,52473,-679,-15946,-1470,7,-76,-30
1,128,52478,-623,-16024,-1503,8,-99,-28
1,129,52483,-565,-16138,-1589,9,-109,-30
1,130,52488,-548,-16213,-1573,8,-114,-30
1,131,52493,-563,-16250,-1624,7,-118,-28
1,132,52498,-444,-16304,-1683,9,-113,-25
1,133,52503,-376,-16275,-1753,9,-86,-28
1,134,52508,-455,-16313,-1765,10,-61,-24
1,135,52513,-414,-16357,-1803,11,-45,-22
1,136,52518,-410,-16399,-1737,9,-25,-24
1,137,52523,-529,-16402,-1673,11,-2,-22
1,138,52528,-542,-16429,-1667,12,15,-23
1,139,52533,-649,-16377,-1629,12,34,-23
1,140,52538,-603,-16444,-1634,12,40,-18
1,141,52543,-595,-16389,-1569,11,53,-19
1,142,52548,-522,-16397,-1498,11,54,-15
1,143,52553,-521,-16401,-1495,13,52,-17
1,144,52558,-673,-16391,-1374,13,53,-20
1,145,52563,-740,-16348,-1365,11,36,-15
1,146,52568,-733,-16315,-1336,13,13,-15
1,147,52573,-712,-16314,-1316,10,-11,-9
1,148,52578,-624,-16373,-1336,9,-37,-7
1,149,52583,-596,-16361,-1308,10,-51,-8
1,150,52588,-613,-16408,-1305,9,-67,-9
1,151,52593,-570,-16390,-1362,11,-78,-5
1,152,52598,-479,-16391,-1466,8,-80,-2
1,153,52603,-433,-16403,-1474,5,-76,-2
1,154,52608,-424,-16423,-1527,6,-63,-5
1,155,52613,-518,-16409,-1512,7,-47,-6
1,156,52618,-622,-16379,-1493,4,-39,-3
1,157,52623,-580,-16371,-1563,6,-39,1
1,158,52628,-641,-16368,-1592,6,-28,-1
1,159,52633,-719,-16393,-1510,6,-24,0
1,160,52638,-759,-16384,-1450,6,-24,-2
1,161,52643,-700,-16412,-1501,2,-30,2
1,162,52648,-670,-16395,-1558,4,-25,3
1,163,52653,-618,-16381,-1574,3,-21,3
1,164,52658,-582,-16308,-1573,3,-17,1
1,165,52663,-682,-16290,-1583,3,-13,-1
1,166,52668,-761,-16268,-1572,3,-14,-1
1,167,52673,-760,-16252,-1526,4,-21,4
1,168,52678,-794,-16305,-1562,3,-31,8
1,169,52683,-767,-16332,-1495,2,-39,6
1,170,52688,-757,-16323,-1472,2,-44,2
1,171,52693,-796,-16351,-1439,3,-57,4
1,172,52698,-711,-16446,-1583,3,-68,5
1,173,52703,-646,-16412,-1643,4,-62,4
1,174,52708,-685,-16390,-1614,3,-55,3
1,175,52713,-645,-16368,-1586,3,-49,7
1,176,52718,-533,-16398,-1679,3,-40,8
1,177,52723,-593,-16369,-1712,2,-19,6
1,178,52728,-660,-16381,-1713,4,-6,4
1,179,52733,-697,-16355,-1666,4,-2,5
1,180,52738,-714,-16341,-1596,3,-3,5
1,181,52743,-796,-16358,-1546,3,-7,6
1,182,52748,-814,-16341,-1533,5,-17,7
1,183,52753,-825,-16295,-1593,7,-27,7
1,184,52758,-807,-16312,-1592,7,-36,8
1,185,52763,-775,-16304,-1566,5,-48,7
1,186,52768,-720,-16341,-1524,5,-58,7
