event_id,seq,ts_us,ax,ay,az,gx,gy,gz
10,0,828829193,-77,-3867,-1387,-6,8,3
10,1,828836761,-61,-3860,-1368,-4,0,3
10,2,828844329,-61,-3860,-1368,-5,0,2
10,3,828851867,-25,-3847,-1397,-8,4,1
10,4,828859436,-46,-3858,-1391,-8,4,0
10,5,828867004,-56,-3863,-1375,-6,5,-2
10,6,828874572,-56,-3863,-1375,-8,8,2
10,7,828882110,-39,-3854,-1398,-10,10,-3
10,8,828889648,-57,-3855,-1415,-10,10,-1
10,9,828897216,-45,-3860,-1438,-7,4,-5
10,10,828904785,-45,-3860,-1438,-7,2,-2
10,11,828912353,-28,-3859,-1447,-6,6,-1
10,12,828919891,-59,-3854,-1472,-7,10,-2
10,13,828927429,-82,-3864,-1443,-9,13,-1
10,14,828934997,-82,-3864,-1443,-5,13,0
10,15,828942565,-65,-3865,-1401,-5,6,-2
10,16,828950103,-91,-3859,-1407,-4,3,0
10,17,828957672,-32,-3860,-1436,-5,2,4
10,18,828965240,-20,-3860,-1442,-7,12,2
10,19,828972808,-20,-3860,-1442,-5,17,0
10,20,828980346,-31,-3853,-1443,-6,24,1
10,21,828987915,-29,-3853,-1432,-4,25,2
10,22,828995483,-24,-3852,-1411,-4,22,1
10,23,829003112,-24,-3852,-1411,-5,14,2
10,24,829010681,-24,-3858,-1428,-3,-6,-2
10,25,829018218,-27,-3858,-1414,-4,-19,0
10,26,829025817,-34,-3860,-1393,-2,-28,1
10,27,829033386,-34,-3860,-1393,-2,-33,2
10,28,829040924,-5,-3853,-1416,-2,-28,-1
10,29,829048461,-23,-3856,-1417,-2,-24,1
10,30,829056030,-32,-3853,-1423,0,-15,3
10,31,829063598,-32,-3853,-1423,0,-8,4
10,32,829071136,-26,-3844,-1444,-5,8,5
10,33,829078674,-44,-3863,-1419,-5,13,4
10,34,829086242,-69,-3861,-1401,-4,16,6
10,35,829093811,-69,-3861,-1401,-5,16,5
10,36,829101348,-77,-3861,-1387,-5,9,5
10,37,829108917,-58,-3851,-1412,-4,8,4
10,38,829116455,-50,-3857,-1420,-5,4,4
10,39,829123992,-84,-3859,-1416,-6,-1,5
10,40,829131561,-84,-3859,-1416,-4,-1,5
10,41,829139129,-47,-3859,-1432,-8,2,3
