event_id,seq,ts_us,ax,ay,az,gx,gy,gz
1,0,27867,5083,-11930,-9077,91,-301,-70
1,1,27872,5250,-11924,-9032,90,-293,-71
1,2,27877,5261,-11978,-8860,86,-276,-71
1,3,27882,5002,-12073,-8788,82,-254,-70
1,4,27887,4452,-12331,-8776,79,-254,-62
1,5,27892,4647,-12485,-8723,94,-284,-60
1,6,27897,5324,-12200,-8961,120,-316,-63
1,7,27902,5927,-12029,-9212,126,-321,-70
1,8,27907,5481,-12271,-9024,114,-292,-67
1,9,27912,4864,-12557,-8947,104,-271,-56
1,10,27917,4705,-12559,-8832,106,-260,-51
1,11,27922,4964,-12365,-8785,113,-265,-54
1,12,27927,5054,-12380,-8713,118,-269,-52
1,13,27932,4887,-12502,-8697,120,-273,-48
1,14,27937,4618,-12599,-8920,124,-273,-45
1,15,27942,4518,-12646,-8980,128,-269,-42
1,16,27947,4754,-12517,-8880,133,-267,-47
1,17,27952,5008,-12391,-8752,130,-253,-50
1,18,27957,4978,-12408,-8785,119,-220,-48
1,19,27962,4771,-12480,-8831,109,-184,-47
1,20,27967,4696,-12528,-8843,100,-155,-47
1,21,27972,4846,-12419,-8752,94,-132,-47
1,22,27977,4962,-12408,-8807,87,-110,-48
1,23,27982,4857,-12426,-8928,80,-85,-53
1,24,27987,4831,-12430,-8847,83,-73,-56
1,25,27992,4931,-12381,-8761,86,-80,-50
1,26,27997,4779,-12421,-8736,85,-80,-41
1,27,28002,4603,-12488,-8747,94,-91,-32
1,28,28007,4567,-12490,-8749,106,-115,-28
1,29,28012,4377,-12480,-8690,116,-142,-18
1,30,28017,4637,-12502,-8847,131,-176,-14
1,31,28022,5047,-12253,-8954,151,-204,-15
1,32,28027,5412,-12199,-9212,151,-204,-12
1,33,28032,5130,-12284,-9172,143,-181,-9
1,34,28037,4767,-12405,-9111,133,-152,-3
1,35,28042,4717,-12405,-8896,128,-132,0
1,36,28047,4900,-12374,-8876,127,-117,-2
1,37,28052,4921,-12359,-8861,124,-100,0
1,38,28057,4806,-12505,-8913,114,-84,3
1,39,28062,4689,-12655,-8924,109,-68,6
1,40,28067,4754,-12597,-8746,106,-53,7
1,41,28072,4963,-12504,-8798,102,-35,9
1,42,28077,5059,-12444,-8864,94,-14,13
1,43,28082,4868,-12632,-8873,88,-5,20
1,44,28087,4659,-12751,-8755,89,-4,24
1,45,28092,4638,-12797,-8767,92,-10,25
1,46,28097,4673,-12787,-8849,95,-22,31
1,47,28102,4742,-12739,-8907,101,-34,33
1,48,28107,4769,-12776,-8893,106,-45,34
1,49,28112,4793,-12719,-8745,106,-49,36
1,50,28117,4866,-12647,-8763,108,-48,40
1,51,28122,4904,-12679,-8823,106,-46,42
1,52,28127,4958,-12740,-8801,105,-45,42
1,53,28132,5018,-12777,-8714,105,-44,41
1,54,28137,5039,-12867,-8817,101,-38,45
1,55,28142,4975,-12993,-8885,99,-36,48
1,56,28147,4976,-13028,-8822,99,-38,50
1,57,28152,5151,-12969,-8704,102,-43,48
1,58,28157,5190,-13003,-8711,100,-39,52
1,59,28162,5139,-13034,-8891,93,-26,56
1,60,28167,5173,-12977,-8902,91,-21,57
1,61,28172,5299,-12978,-8825,89,-18,56
1,62,28177,5235,-12992,-8709,81,-9,57
1,63,28182,5156,-13050,-8709,78,-2,61
1,64,28187,5073,-12989,-8746,77,3,64
1,65,28192,5045,-12945,-8759,77,2,65
1,66,28197,5063,-12935,-8717,74,-4,67
1,67,28202,5044,-12915,-8625,75,-11,68
1,68,28207,4960,-12921,-8685,76,-19,69
1,69,28212,4845,-12973,-8751,77,-25,70
1,70,28217,4819,-12977,-8814,83,-36,69
1,71,28222,4856,-13047,-8778,85,-50,72
1,72,28227,4895,-13035,-8788,82,-53,70
1,73,28232,4904,-12996,-8815,84,-51,68
1,74,28237,4933,-12957,-8775,82,-51,68
1,75,28242,5013,-12955,-8700,77,-44,65
1,76,28247,4951,-13020,-8719,70,-32,64
1,77,28252,4859,-13115,-8754,62,-20,66
1,78,28257,4926,-13097,-8708,57,-10,62
1,79,28262,5083,-13025,-8698,51,1,59
1,80,28267,5019,-13047,-8708,41,20,59
1,81,28272,4857,-13125,-8719,30,35,58
1,82,28277,4753,-13176,-8607,25,40,55
1,83,28282,4796,-13156,-8548,22,46,52
1,84,28287,4845,-13116,-8601,19,52,52
1,85,28292,4871,-13115,-8639,12,53,51
1,86,28297,4853,-13147,-8660,11,50,48
1,87,28302,4801,-13157,-8652,10,47,47
1,88,28307,4781,-13178,-8673,7,47,45
1,89,28312,4892,-13069,-8638,7,43,42
1,90,28317,5005,-12943,-8673,6,37,40
1,91,28322,4957,-12994,-8670,3,37,39
1,92,28327,4872,-13041,-8741,-2,34,37
1,93,28332,4925,-12983,-8777,1,26,34
1,94,28337,5045,-12836,-8727,1,20,33
1,95,28342,5065,-12807,-8656,-1,17,32
1,96,28347,4967,-12850,-8692,-3,14,35
1,97,28352,4943,-12898,-8724,-3,9,34
1,98,28357,5017,-12796,-8650,-2,3,31
1,99,28362,5082,-12786,-8661,-7,4,32
1,100,28367,5044,-12839,-8664,-13,6,32
1,101,28372,4934,-12868,-8705,-15,9,31
1,102,28377,4988,-12866,-8746,-17,9,29
1,103,28382,5037,-12847,-8717,-21,15,27
1,104,28387,5032,-12862,-8667,-26,21,26
1,105,28392,4976,-12895,-8722,-30,27,24
1,106,28397,4962,-12922,-8788,-35,31,23
1,107,28402,5020,-12935,-8717,-35,33,21
1,108,28407,4990,-13006,-8646,-38,30,18
1,109,28412,4957,-13001,-8577,-39,25,18
1,110,28417,4920,-13002,-8567,-39,20,17
1,111,28422,4982,-13023,-8669,-38,17,16
1,112,28427,4988,-13052,-8664,-39,12,14
1,113,28432,5116,-13051,-8640,-41,8,12
1,114,28437,5198,-12986,-8620,-44,12,10
1,115,28442,5182,-12999,-8657,-47,17,9
1,116,28447,5089,-13023,-8644,-49,20,10
1,117,28452,5009,-13032,-8622,-51,16,11
1,118,28457,5003,-13012,-8573,-50,5,13
1,119,28462,5025,-12995,-8614,-46,-7,10
1,120,28467,5060,-12970,-8590,-43,-21,10
1,121,28472,5050,-12963,-8615,-41,-28,12
1,122,28477,5003,-12995,-8735,-39,-37,12
1,123,28482,4981,-13046,-8794,-38,-40,10
1,124,28487,5065,-13043,-8704,-37,-43,11
1,125,28492,5003,-13001,-8654,-37,-44,10
1,126,28497,4942,-13008,-8712,-39,-38,9
1,127,28502,4909,-12990,-8721,-44,-33,10
1,128,28507,4903,-12959,-8819,-46,-28,8
1,129,28512,4881,-13013,-8810,-50,-20,7
1,130,28517,4740,-13055,-8795,-52,-15,6
1,131,28522,4777,-13006,-8669,-52,-16,4
1,132,28527,4896,-12932,-8594,-51,-19,-1
1,133,28532,4903,-12936,-8651,-54,-17,-1
1,134,28537,4857,-12990,-8692,-54,-16,2
1,135,28542,4920,-13029,-8711,-53,-23,-1
1,136,28547,4983,-12982,-8740,-49,-28,-2
1,137,28552,4992,-13010,-8645,-50,-31,0
1,138,28557,5020,-12999,-8580,-47,-36,-2
1,139,28562,5044,-13018,-8639,-45,-42,-4
1,140,28567,5030,-13036,-8741,-46,-40,-3
1,141,28572,5132,-13024,-8771,-47,-34,-5
1,142,28577,5239,-12875,-8731,-52,-26,-8
1,143,28582,5249,-12800,-8779,-55,-13,-5
1,144,28587,5126,-12858,-8775,-59,-3,-3
1,145,28592,4936,-12910,-8745,-59,-7,-5
1,146,28597,4941,-12903,-8716,-54,-18,-5
1,147,28602,5008,-12822,-8743,-43,-33,-4
1,148,28607,5044,-12845,-8810,-40,-46,-3
1,149,28612,4998,-12885,-8761,-38,-58,-3
1,150,28617,5062,-12839,-8725,-32,-66,-3
1,151,28622,5114,-12738,-8718,-28,-68,-2
1,152,28627,5060,-12787,-8874,-29,-69,-1
1,153,28632,4934,-12888,-8870,-28,-74,1
1,154,28637,4912,-12923,-8784,-25,-83,-1
1,155,28642,4931,-12836,-8731,-20,-90,-1
1,156,28647,4870,-12808,-8864,-13,-100,0
1,157,28652,4838,-12866,-8884,-13,-106,0
1,158,28657,4866,-12785,-8731,-9,-111,-5
1,159,28662,4975,-12700,-8721,-7,-110,-4
1,160,28667,4962,-12788,-8824,-8,-102,-2
1,161,28672,4885,-12812,-8860,-12,-94,-6
1,162,28677,4855,-12840,-8723,-16,-85,-8
1,163,28682,4871,-12807,-8683,-18,-70,-11
1,164,28687,4900,-12791,-8706,-25,-54,-11
1,165,28692,4659,-12730,-8907,-31,-35,-15
1,166,28697,4541,-12920,-8758,-29,-4,-22
1,167,28702,4944,-12966,-8739,-25,-18,-34
1,168,28707,5030,-12762,-8516,-32,-22,-38
1,169,28712,4905,-13108,-8826,-49,-16,-26
1,170,28717,4876,-13114,-8736,-33,-29,-28
1,171,28722,4827,-13017,-8701,-20,-46,-25
1,172,28727,4830,-13030,-8706,-20,-53,-22
1,173,28732,4997,-12920,-8702,-14,-65,-22
1,174,28737,4993,-12867,-8752,-6,-74,-20
1,175,28742,4953,-12831,-8741,-1,-79,-19
1,176,28747,4897,-12846,-8757,2,-85,-17
1,177,28752,4890,-12852,-8779,4,-94,-18
1,178,28757,4940,-12863,-8802,9,-98,-15
1,179,28762,4871,-12837,-8784,13,-99,-15
1,180,28767,4871,-12828,-8806,13,-101,-15
1,181,28772,4779,-12879,-8734,10,-98,-14
1,182,28777,4720,-12876,-8773,9,-92,-15
1,183,28782,4758,-12790,-8799,9,-82,-17
1,184,28787,4832,-12667,-8657,8,-69,-20
1,185,28792,4918,-12643,-8607,0,-52,-22
1,186,28797,4863,-12729,-8783,-10,-30,-21
1,187,28802,4738,-12883,-8863,-16,-16,-21
1,188,28807,4716,-12883,-8836,-17,-8,-24
1,189,28812,4786,-12812,-8768,-17,-4,-26
1,190,28817,4740,-12841,-8745,-18,2,-24
1,191,28822,4654,-12850,-8737,-15,0,-24
1,192,28827,4670,-12821,-8785,-11,-9,-25
1,193,28832,4682,-12746,-8749,-8,-17,-24
1,194,28837,4648,-12806,-8775,-6,-22,-23
1,195,28842,4646,-12848,-8811,-1,-26,-25
1,196,28847,4773,-12769,-8818,1,-31,-26
1,197,28852,4842,-12739,-8825,2,-29,-26
1,198,28857,4896,-12743,-8862,0,-26,-27
1,199,28862,4819,-12752,-8833,-1,-24,-26
1,200,28867,4804,-12762,-8800,1,-22,-28
1,201,28872,4708,-12781,-8787,3,-26,-26
1,202,28877,4652,-12794,-8837,7,-29,-29
1,203,28882,4865,-12808,-8791,14,-31,-33
1,204,28887,4989,-12684,-8728,14,-41,-34
1,205,28892,4814,-12773,-8795,9,-39,-27
1,206,28897,4752,-12817,-8790,9,-38,-26
1,207,28902,4886,-12744,-8755,13,-41,-31
1,208,28907,4912,-12800,-8768,8,-36,-30
1,209,28912,4810,-12881,-8776,1,-24,-30
1,210,28917,4830,-12871,-8766,-1,-12,-32
1,211,28922,4968,-12752,-8848,-2,1,-33
1,212,28927,4956,-12720,-8857,-7,12,-33
1,213,28932,4848,-12785,-8776,-8,13,-35
1,214,28937,4754,-12858,-8839,-6,7,-37
1,215,28942,4704,-12910,-8931,-3,-3,-34
1,216,28947,4783,-12945,-8886,5,-18,-36
1,217,28952,4929,-12894,-8659,13,-33,-37
1,218,28957,5001,-12826,-8793,16,-36,-37
1,219,28962,4928,-12848,-8922,11,-27,-36
1,220,28967,4911,-12863,-8959,11,-26,-38
1,221,28972,5002,-12826,-8813,11,-25,-39
1,222,28977,5036,-12785,-8771,10,-14,-40
1,223,28982,4961,-12794,-8829,4,-2,-39
1,224,28987,4920,-12813,-8862,1,1,-40
1,225,28992,4913,-12809,-8783,3,-3,-43
1,226,28997,5004,-12775,-8714,5,-7,-43
1,227,29002,4966,-12786,-8821,8,-7,-41
1,228,29007,4957,-12791,-8901,10,-13,-39
1,229,29012,5003,-12783,-8813,16,-25,-39
1,230,29017,5028,-12810,-8784,17,-36,-39
