event_id,seq,ts_us,ax,ay,az,gx,gy,gz
1,0,36739,1363,-15872,-3786,8,-16,-3
1,1,36744,1226,-15838,-3649,14,-3,-3
1,2,36749,1221,-15782,-3652,11,-3,-4
1,3,36754,1336,-15796,-3696,7,1,-4
1,4,36759,1374,-15754,-3684,9,10,-3
1,5,36764,1404,-15844,-3672,8,13,-3
1,6,36769,1414,-15916,-3708,5,19,0
1,7,36774,1315,-15967,-3641,4,30,0
1,8,36779,1279,-15962,-3596,6,31,1
1,9,36784,1272,-15895,-3593,7,30,2
1,10,36789,1228,-15859,-3579,3,32,0
1,11,36794,1264,-15847,-3684,-1,29,2
1,12,36799,1268,-15882,-3800,1,27,4
1,13,36804,1339,-15834,-3758,6,23,0
1,14,36809,1413,-15815,-3688,7,18,-2
1,15,36814,1368,-15763,-3655,6,16,3
1,16,36819,1239,-15810,-3654,3,13,4
1,17,36824,1225,-15838,-3643,2,2,2
1,18,36829,1238,-15854,-3698,6,-17,-1
1,19,36834,1299,-15853,-3597,7,-32,-3
1,20,36839,1236,-15866,-3601,7,-45,-3
1,21,36844,1251,-15848,-3629,10,-57,-4
1,22,36849,1222,-15870,-3620,10,-65,-6
1,23,36854,1303,-15914,-3687,10,-68,-5
1,24,36859,1352,-15932,-3662,8,-63,-3
1,25,36864,1421,-16005,-3667,6,-56,-2
1,26,36869,1375,-16065,-3687,5,-42,1
1,27,36874,1324,-16040,-3703,5,-25,3
1,28,36879,1313,-15990,-3646,4,-11,1
1,29,36884,1367,-15972,-3701,1,7,5
1,30,36889,1338,-16040,-3734,-1,17,10
1,31,36894,1276,-16106,-3686,-2,24,11
1,32,36899,1211,-16104,-3623,0,25,9
1,33,36904,1173,-16067,-3607,0,25,8
1,34,36909,1202,-16032,-3731,-1,20,10
1,35,36914,1287,-16008,-3695,0,14,9
1,36,36919,1377,-15996,-3601,1,10,8
1,37,36924,1397,-15950,-3590,0,9,10
1,38,36929,1273,-15968,-3686,0,7,11
1,39,36934,1134,-15935,-3720,0,1,11
1,40,36939,1203,-15924,-3675,2,-8,9
1,41,36944,1287,-15949,-3660,2,-19,8
1,42,36949,1368,-15941,-3656,2,-28,7
1,43,36954,1402,-15878,-3615,4,-34,7
1,44,36959,1356,-15805,-3593,3,-36,8
1,45,36964,1234,-15789,-3582,4,-39,9
1,46,36969,1190,-15904,-3655,3,-41,12
1,47,36974,1104,-15983,-3587,2,-43,15
1,48,36979,1015,-16021,-3445,2,-41,11
1,49,36984,1291,-16069,-3683,-3,-46,5
1,50,36989,1411,-15979,-3854,1,-34,8
1,51,36994,1509,-15824,-3795,0,-9,11
1,52,36999,1528,-15816,-3837,-6,14,15
1,53,37004,1352,-15878,-3751,-7,38,21
1,54,37009,1150,-15850,-3719,-6,49,21
1,55,37014,1081,-15825,-3763,-4,47,20
1,56,37019,1065,-15842,-3685,-2,33,19
1,57,37024,1110,-15960,-3598,0,15,20
1,58,37029,1059,-16002,-3400,0,1,14
1,59,37034,1174,-16012,-3577,-1,-21,8
1,60,37039,1293,-15933,-3587,5,-30,5
1,61,37044,1402,-15839,-3445,6,-33,7
1,62,37049,1431,-15830,-3629,-3,-33,12
1,63,37054,1397,-15928,-3733,-6,-28,14
1,64,37059,1409,-15923,-3642,1,-26,13
1,65,37064,1464,-15885,-3629,0,-24,13
1,66,37069,1398,-15959,-3677,-4,-19,15
1,67,37074,1244,-16005,-3602,-4,-15,17
1,68,37079,1209,-15937,-3532,-2,-16,16
1,69,37084,1310,-15883,-3512,-1,-21,16
1,70,37089,1219,-15875,-3513,-5,-26,17
1,71,37094,1127,-15971,-3651,-7,-33,17
1,72,37099,1050,-16000,-3724,-3,-41,15
1,73,37104,1144,-15938,-3628,3,-47,9
1,74,37109,1285,-15867,-3618,4,-44,9
1,75,37114,1363,-15848,-3641,-1,-35,13
1,76,37119,1370,-15830,-3571,-3,-17,15
1,77,37124,1303,-15886,-3586,-3,-2,17
1,78,37129,1160,-15900,-3560,-7,8,18
1,79,37134,1086,-15931,-3540,-9,12,18
1,80,37139,1110,-15963,-3606,-7,6,18
1,81,37144,1089,-15926,-3573,-4,-3,17
1,82,37149,1179,-15915,-3480,-3,-14,11
1,83,37154,1192,-15969,-3577,-5,-25,12
1,84,37159,1106,-15960,-3695,-7,-31,13
1,85,37164,1081,-15961,-3697,-4,-38,12
1,86,37169,1192,-15946,-3671,2,-44,7
1,87,37174,1306,-15906,-3649,0,-42,8
1,88,37179,1316,-15959,-3723,-3,-37,12
1,89,37184,1305,-15966,-3810,-3,-30,12
1,90,37189,1202,-15982,-3727,1,-22,12
1,91,37194,1127,-16036,-3638,0,-17,12
1,92,37199,1037,-16065,-3614,-2,-14,14
1,93,37204,1083,-16105,-3599,-1,-10,14
1,94,37209,1131,-16066,-3621,-1,-5,14
1,95,37214,1169,-16073,-3621,0,3,15
1,96,37219,1093,-16113,-3674,-3,15,14
1,97,37224,1048,-16145,-3721,-4,26,14
1,98,37229,1080,-16087,-3658,0,37,14
1,99,37234,1071,-16092,-3538,1,46,14
1,100,37239,1054,-16102,-3577,-2,51,17
1,101,37244,977,-16075,-3571,-5,53,18
1,102,37249,880,-16113,-3568,-5,47,16
1,103,37254,843,-16077,-3545,-1,35,13
1,104,37259,998,-16014,-3561,3,20,11
1,105,37264,1197,-15964,-3638,3,6,11
1,106,37269,1278,-15953,-3725,2,0,12
1,107,37274,1374,-15983,-3733,5,-7,11
1,108,37279,1661,-15924,-3863,6,-16,10
1,109,37284,1756,-15883,-3978,7,-12,17
1,110,37289,1633,-15840,-3851,9,2,20
1,111,37294,1456,-15860,-3589,13,15,21
1,112,37299,1342,-15799,-3469,13,21,24
1,113,37304,1272,-15851,-3608,5,26,31
1,114,37309,1141,-15900,-3757,3,25,34
1,115,37314,1171,-15895,-3603,16,8,25
1,116,37319,1232,-15828,-3536,15,4,25
1,117,37324,1229,-15812,-3530,13,3,27
1,118,37329,1213,-15822,-3571,13,5,30
1,119,37334,1172,-15822,-3615,11,13,32
1,120,37339,1097,-15808,-3561,12,20,34
1,121,37344,1179,-15800,-3591,9,20,30
1,122,37349,1299,-15807,-3675,9,23,29
1,123,37354,1295,-15804,-3619,10,34,33
1,124,37359,1255,-15775,-3636,6,36,35
1,125,37364,1105,-15757,-3621,8,34,34
1,126,37369,1057,-15773,-3436,10,32,33
1,127,37374,1206,-15786,-3483,7,24,29
1,128,37379,1196,-15846,-3610,4,11,31
1,129,37384,1049,-15838,-3576,7,-2,30
1,130,37389,1038,-15820,-3529,10,-20,25
1,131,37394,1028,-15774,-3513,13,-36,22
1,132,37399,1004,-15791,-3586,13,-47,22
1,133,37404,1102,-15834,-3608,11,-54,21
1,134,37409,1189,-15834,-3609,12,-56,19
1,135,37414,1217,-15875,-3593,10,-54,20
1,136,37419,1193,-15970,-3662,5,-42,21
1,137,37424,1124,-16024,-3717,7,-28,21
1,138,37429,1200,-15972,-3679,9,-17,21
1,139,37434,1274,-15939,-3641,5,-2,22
1,140,37439,1203,-15979,-3656,0,11,24
1,141,37444,1106,-16035,-3626,-1,20,26
1,142,37449,986,-16038,-3606,1,20,24
1,143,37454,962,-16069,-3589,2,16,20
1,144,37459,1136,-16103,-3701,-1,11,19
1,145,37464,1197,-16139,-3741,0,8,21
1,146,37469,1195,-16144,-3689,2,8,19
1,147,37474,1171,-16092,-3665,3,7,17
1,148,37479,1131,-16046,-3682,2,11,18
1,149,37484,1012,-16104,-3748,1,11,20
1,150,37489,1052,-16080,-3708,2,6,18
1,151,37494,1087,-16067,-3560,4,4,15
1,152,37499,1094,-16088,-3514,4,2,15
1,153,37504,1118,-16089,-3632,0,0,15
1,154,37509,1113,-16124,-3746,0,-8,16
1,155,37514,1171,-16122,-3812,1,-15,14
1,156,37519,1149,-16116,-3729,3,-19,11
1,157,37524,1169,-16077,-3641,7,-24,8
1,158,37529,1234,-16035,-3613,7,-25,8
1,159,37534,1237,-15989,-3621,6,-19,9
1,160,37539,1132,-16027,-3518,3,-9,10
1,161,37544,1118,-16022,-3559,-2,1,12
1,162,37549,1150,-16006,-3656,-3,15,12
1,163,37554,1276,-15948,-3805,-2,26,13
1,164,37559,1373,-15878,-3830,-3,38,13
1,165,37564,1310,-15905,-3772,-3,49,15
1,166,37569,1089,-15869,-3613,-2,55,16
1,167,37574,997,-15815,-3500,-1,56,12
1,168,37579,1027,-15780,-3597,-1,49,13
1,169,37584,940,-15783,-3515,-2,44,18
1,170,37589,949,-15820,-3480,-8,32,13
1,171,37594,1148,-15866,-3681,-10,12,7
1,172,37599,1195,-15818,-3631,-1,8,6
1,173,37604,1244,-15835,-3558,-2,2,4
1,174,37609,1334,-15962,-3794,-12,-12,2
1,175,37614,1255,-15972,-3653,-6,-16,0
1,176,37619,1185,-15945,-3439,-3,-22,-1
1,177,37624,1175,-15941,-3483,-5,-29,-1
1,178,37629,1164,-15903,-3543,-5,-32,-1
1,179,37634,1171,-15870,-3543,-7,-39,-3
1,180,37639,1247,-15888,-3616,-12,-46,-4
1,181,37644,1185,-15919,-3661,-11,-50,-5
1,182,37649,1154,-15903,-3655,-11,-49,-7
1,183,37654,1121,-15876,-3612,-9,-46,-8
1,184,37659,1093,-15862,-3505,-9,-40,-11
1,185,37664,1098,-15896,-3596,-14,-30,-9
1,186,37669,1109,-15992,-3702,-20,-17,-4
1,187,37674,1061,-16003,-3746,-20,-7,-7
1,188,37679,1104,-16007,-3751,-18,6,-9
1,189,37684,1109,-15974,-3756,-20,20,-12
1,190,37689,1102,-15967,-3819,-20,33,-11
1,191,37694,1146,-15971,-3769,-21,43,-10
1,192,37699,1231,-15930,-3694,-21,48,-11
1,193,37704,1200,-16020,-3706,-23,51,-9
1,194,37709,1173,-16003,-3758,-26,48,-8
1,195,37714,1146,-15979,-3827,-23,35,-13
1,196,37719,1116,-15950,-3780,-19,19,-18
1,197,37724,1068,-15960,-3648,-15,5,-17
1,198,37729,1074,-15941,-3561,-17,-6,-22
1,199,37734,1130,-15921,-3565,-16,-13,-23
1,200,37739,1192,-15917,-3586,-18,-15,-22
1,201,37744,1218,-15949,-3787,-24,-15,-21
1,202,37749,1220,-16023,-3859,-24,-9,-23
1,203,37754,1157,-15985,-3674,-17,-1,-26
1,204,37759,1186,-15968,-3653,-16,8,-24
