event_id,swing_id,sample_rate_hz,total_samples,pre_samples,post_samples,impact_index_in_event,address_start_us,backswing_start_us,forward_start_us,impact_us,follow_start_us,end_us,event_start_us,event_end_us
1,2,200,1000,600,400,600,21219564,21749564,22299564,22729564,22729564,22929564,19729564,24724564
2,3,200,1000,600,400,600,29049564,30154564,30754564,31314564,31314564,31634564,28314580,33309564
3,7,200,1000,600,400,600,53914564,54504564,55119564,55659564,55659564,56124564,52659564,57654564
4,8,200,1000,600,400,600,57754566,66559564,67284564,67869564,67869564,68659564,64869564,69864564
5,9,200,1000,600,400,600,69584564,76214564,76964564,77539564,77539564,78069564,74539564,79534564
6,14,200,1000,600,400,600,105559564,106014564,106854564,107409564,107409564,107859564,104409564,109404564
7,15,200,1000,600,400,600,113759564,115954570,116604564,117249564,117249564,117744564,114249564,119244564
8,16,200,1000,600,400,600,119449564,123369564,124359564,125099564,125099564,125429564,122099568,127094564
9,17,200,1000,600,400,600,126824564,135219564,135954564,136549564,136549564,137119564,133549564,138544564
10,21,200,1000,600,400,600,815494564,815914564,816654564,817149564,817149564,817539564,814149564,819144564
11,22,200,1000,600,400,600,819049564,826554564,827239564,827779564,827779564,828764564,824779564,829774571
12,23,200,1000,600,400,600,829769564,838114564,838819564,839339564,839339564,839779564,836339564,841334564
13,24,200,1000,600,400,600,841094564,850029564,850719564,851269564,851269564,851729564,848269564,853264564
14,25,200,1000,600,400,600,852759564,861919564,862489564,862994564,862994564,863439564,859994564,864989564
15,27,200,1000,600,400,600,875754564,876364564,876949564,877429564,877429564,878069564,874429611,879424573
