event_id,swing_id,sample_rate_hz,total_samples,pre_samples,post_samples,impact_index_in_event,address_start_us,backswing_start_us,forward_start_us,impact_us,follow_start_us,end_us,event_start_us,event_end_us
17,72,200,1000,600,400,600,1660972107,1673927107,1674522107,1674967107,1674967107,1675677107,1671967107,1676962107
18,74,200,1000,600,400,600,1689217107,1689672107,1690152107,1690577107,1690577107,1690947107,1687577107,1692572107
19,76,200,1000,600,400,600,1706757107,1720422107,1720972107,1721297107,1721297107,1721567107,1718297107,1723292107
20,77,200,1000,600,400,600,1722967107,1745052107,1745587107,1745847107,1745952107,1746572107,1742847107,1747842107
21,81,200,1000,600,400,600,1909992107,1910497107,1911032107,1911117107,1911187107,1912637107,1908117107,1913112107
22,82,200,1000,600,400,600,1920887107,1921297107,1921862107,1922177107,1922177107,1922557107,1919177107,1924172107
23,83,200,1000,600,400,600,1924387094,1930387107,1930782107,1930797107,1930797107,1931527107,1927797107,1932792107
24,84,200,1000,600,400,600,1937117107,1949062107,1949597107,1949652107,1949652107,1950727107,1946652107,1951647107
25,85,200,1000,600,400,600,1951837094,1959412107,1959857107,1959897107,1959897107,1960402107,1956897107,1961892107
26,90,200,1000,600,400,600,2081462107,2082552107,2082917107,2082922142,2082937107,2083577107,2079922107,2084917107
27,91,200,1000,600,400,600,2085002094,2091642107,2092092107,2092422107,2092422107,2093322107,2089422107,2094417107
28,92,200,1000,600,400,600,2098707107,2103067107,2103457107,2103737157,2103737157,2103977163,2100737107,2105732107
29,93,200,1000,600,400,600,2105252107,2119782107,2120297107,2120477107,2120547107,2121582107,2117477107,2122472107
30,94,200,1000,600,400,600,2122242107,2130227107,2130697107,2131002107,2131002107,2131852107,2128002107,2132997107
31,95,200,1000,600,400,600,2133172094,2142312107,2142737107,2142922107,2143002107,2143857107,2139922107,2144917107
32,103,200,1000,600,400,600,2516987107,2523197107,2524242107,2524282107,2524417107,2525897107,2521282107,2526277107
