start_s,end_s,samples,gx_mean_dps,gy_mean_dps,gz_mean_dps,gx_drift_deg_per_min,gy_drift_deg_per_min,gz_drift_deg_per_min
0.0,60.0,12101,0.029929231137922487,0.015276681266011071,-0.009180752912982398,2.0398319713646944,1.1514529726766765,-0.5999144417523063
60.0,120.0,12000,0.04506437591666667,0.030293838833333333,-0.010782832583333336,2.7454905177773794,1.730513677733305,-0.6973946572283223
120.0,180.0,12000,0.043380814250000004,0.028523819166666665,-0.013127605,2.5722744408579543,1.7770059118723796,-0.7678929946096059
180.0,240.0,12000,0.04124458041666667,0.020345101166666667,-0.015162117583333334,2.4768397401287747,1.2444475676655022,-0.9101419442705557
240.0,300.0,12000,0.04036974733333333,0.021397952666666668,-0.012715618166666668,2.413866634321654,1.39150710747132,-0.7946741368884574
300.0,360.0,12000,0.036712717166666665,0.015157105999999998,-0.016515061416666667,2.1862228575483145,0.9056084376901979,-0.9890857023776768
360.0,420.0,12000,0.031972304416666666,0.011515341000000002,-0.016911795250000004,1.9244458589832947,0.6924737917641225,-1.0462982698867898
420.0,480.0,12000,0.03013616533333334,0.011261027083333335,-0.015472378583333333,1.7700665752868066,0.7168771311677237,-0.9361079298330212
480.0,540.0,12000,0.0360006355,0.011138952583333334,-0.017852749833333334,2.153858299733683,0.6903192854476661,-1.0578099169760629
540.0,599.9949340009999,11999,0.031244314692891073,0.00984993466122177,-0.016999615467955663,1.8152315914222656,0.593457084410973,-1.0138132181315918
