axis,mean_dps,std_dps,min_dps,max_dps,final_angle_deg,drift_deg_per_min_fit
gx,0.036599918751040794,0.08555904746145117,-0.327026,0.405396,21.98155326087087,2.269830148168882
gy,0.017474189408825978,0.08673106425265642,-0.452148,0.463379,10.503713993746587,1.1033615916787625
gz,-0.014467581831806828,0.08618978263944536,-0.427979,0.365479,-8.69057212672174,-0.89185017915256
