axis,mean_dps,std_dps,min_dps,max_dps,final_angle_deg,drift_deg_per_min_fit
gx,-0.00719484457119067,0.08629849530541672,-0.432373,0.361084,-4.329330334723969,-0.5331977567380782
gy,-0.03347178741881765,0.0913075256117258,-0.677002,0.665771,-20.08994346291557,-2.090882222842003
gz,-0.01973138378018318,0.0864432635487209,-0.42334,0.309082,-11.847320187860271,-1.239983993334143
